Institute ID,Name,TLR (100),RPC (100),GO (100),OI (100),PERCEPTION (100),City,State,Score,Rank
IR-O-U-0220,Indian Institute of Science,82.08,87.45,84.8,57.46,100,Bengaluru,Karnataka,83.57,1
TLR (100),RPC (100),,,,,,,,,
82.08,87.45,,,,,,,,,
IR-O-U-0109,Jawaharlal Nehru University,71.95,45.55,95.27,70.27,71.43,New Delhi,Delhi,68.47,2
TLR (100),RPC (100),,,,,,,,,
71.95,45.55,,,,,,,,,
IR-O-U-0108,"Jamia Millia Islamia, New DelhiMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)68.1647.3892.4681.1446.50",68.16,47.38,92.46,81.14,46.5,New Delhi,Delhi,65.91,3
TLR (100),RPC (100),,,,,,,,,
68.16,47.38,,,,,,,,,
IR-O-U-0575,Jadavpur UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)63.5753.7390.1056.8664.67,63.57,53.73,90.1,56.86,64.67,Kolkata,West Bengal,65.37,4
TLR (100),RPC (100),,,,,,,,,
63.57,53.73,,,,,,,,,
IR-O-U-0436,Amrita Vishwa VidyapeethamMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)69.8050.0674.0969.5356.66,69.8,50.06,74.09,69.53,56.66,Coimbatore,Tamil Nadu,63.4,5
TLR (100),RPC (100),,,,,,,,,
69.8,50.06,,,,,,,,,
IR-O-U-0500,Banaras Hindu UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)69.9043.9197.7457.3237.76,69.9,43.91,97.74,57.32,37.76,Varanasi,Uttar Pradesh,63.2,6
TLR (100),RPC (100),,,,,,,,,
69.9,43.91,,,,,,,,,
IR-O-U-0234,"Manipal Academy of Higher Education, ManipalMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)70.5351.0778.1564.8142.46",70.53,51.07,78.15,64.81,42.46,Manipal,Karnataka,62.84,7
TLR (100),RPC (100),,,,,,,,,
70.53,51.07,,,,,,,,,
IR-O-U-0570,Calcutta UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)67.4640.8595.4861.9044.50,67.46,40.85,95.48,61.9,44.5,Kolkata,West Bengal,62.23,8
TLR (100),RPC (100),,,,,,,,,
67.46,40.85,,,,,,,,,
IR-O-U-0490,Vellore Institute of TechnologyMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)52.7259.8279.4359.0762.02,52.72,59.82,79.43,59.07,62.02,Vellore,Tamil Nadu,61.77,9
TLR (100),RPC (100),,,,,,,,,
52.72,59.82,,,,,,,,,
IR-O-U-0042,University of HyderabadMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)70.9440.1883.9763.5052.39,70.94,40.18,83.97,63.5,52.39,Hyderabad,Telangana,61.71,10
TLR (100),RPC (100),,,,,,,,,
70.94,40.18,,,,,,,,,
IR-O-U-0496,Aligarh Muslim UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)69.2143.0488.9256.2943.49,69.21,43.04,88.92,56.29,43.49,Aligarh,Uttar Pradesh,61.43,11
TLR (100),RPC (100),,,,,,,,,
69.21,43.04,,,,,,,,,
IR-O-U-0323,Savitribai Phule Pune UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)63.6641.6492.4452.0741.88,63.66,41.64,92.44,52.07,41.88,Pune,Maharashtra,59.48,12
TLR (100),RPC (100),,,,,,,,,
63.66,41.64,,,,,,,,,
IR-O-U-0120,University of DelhiMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)43.1152.8291.8558.8756.15,43.11,52.82,91.85,58.87,56.15,Delhi,Delhi,58.66,13
TLR (100),RPC (100),,,,,,,,,
43.11,52.82,,,,,,,,,
IR-O-U-0308,Institute of Chemical TechnologyMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)59.2750.5879.6154.5042.91,59.27,50.58,79.61,54.5,42.91,Mumbai,Maharashtra,58.61,14
TLR (100),RPC (100),,,,,,,,,
59.27,50.58,,,,,,,,,
IR-O-U-0447,Bharathiar UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)63.9744.3678.3163.9636.88,63.97,44.36,78.31,63.96,36.88,Coimbatore,Tamil Nadu,58.25,15
TLR (100),RPC (100),,,,,,,,,
63.97,44.36,,,,,,,,,
IR-O-U-0363,Siksha `O` AnusandhanMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)68.3035.5873.4568.4049.08,68.3,35.58,73.45,68.4,49.08,Bhubaneswar,Odisha,57.6,16
TLR (100),RPC (100),,,,,,,,,
68.3,35.58,,,,,,,,,
IR-O-U-0304,Homi Bhabha National InstituteMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)72.5145.2568.9352.0127.71,72.51,45.25,68.93,52.01,27.71,Mumbai,Maharashtra,57.09,17
TLR (100),RPC (100),,,,,,,,,
72.51,45.25,,,,,,,,,
IR-O-U-0391,Birla Institute of Technology & Science - PilaniMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)59.2746.7473.4558.7643.08,59.27,46.74,73.45,58.76,43.08,Pilani,Rajasthan,56.68,18
TLR (100),RPC (100),,,,,,,,,
59.27,46.74,,,,,,,,,
IR-O-U-0473,S.R.M. Institute of Science and TechnologyMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)57.9145.2871.4162.5447.60,57.91,45.28,71.41,62.54,47.6,Chennai,Tamil Nadu,56.24,19
TLR (100),RPC (100),,,,,,,,,
57.91,45.28,,,,,,,,,
IR-O-U-0356,Kalinga Institute of Industrial TechnologyMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)69.0030.2075.1377.8636.40,69,30.2,75.13,77.86,36.4,Bhubaneswar,Odisha,56.22,20
TLR (100),RPC (100),,,,,,,,,
69,30.2,,,,,,,,,
IR-O-U-0439,Anna UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)53.3253.1574.9749.3043.47,53.32,53.15,74.97,49.3,43.47,Chennai,Tamil Nadu,56.22,20
TLR (100),RPC (100),,,,,,,,,
53.32,53.15,,,,,,,,,
IR-O-U-0027,Osmania UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)60.2230.4179.9856.3742.40,60.22,30.41,79.98,56.37,42.4,Hyderabad,Telangana,53.07,22
TLR (100),RPC (100),,,,,,,,,
60.22,30.41,,,,,,,,,
IR-O-U-0497,Amity UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)49.5747.8970.3564.1733.40,49.57,47.89,70.35,64.17,33.4,Gautam Budh Nagar,Uttar Pradesh,53.07,22
TLR (100),RPC (100),,,,,,,,,
49.57,47.89,,,,,,,,,
IR-O-U-0476,Shanmugha Arts Science Technology & Research AcademyMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)61.3538.2367.6659.7436.70,61.35,38.23,67.66,59.74,36.7,Thanjavur,Tamil Nadu,53.04,24
TLR (100),RPC (100),,,,,,,,,
61.35,38.23,,,,,,,,,
IR-O-U-0078,Panjab UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)48.4343.1874.6260.7343.29,48.43,43.18,74.62,60.73,43.29,Chandigarh,Chandigarh,52.8,25
TLR (100),RPC (100),,,,,,,,,
48.43,43.18,,,,,,,,,
IR-O-I-1441,Saveetha Institute of Medical and Technical SciencesMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)56.2943.0169.4665.9721.71,56.29,43.01,69.46,65.97,21.71,Chennai,Tamil Nadu,52.45,26
TLR (100),RPC (100),,,,,,,,,
56.29,43.01,,,,,,,,,
IR-O-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering)More DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)61.2236.6367.0456.8338.82,61.22,36.63,67.04,56.83,38.82,Vaddeswaram,Andhra Pradesh,52.33,27
TLR (100),RPC (100),,,,,,,,,
61.22,36.63,,,,,,,,,
IR-O-U-0435,Alagappa UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)61.6632.6372.2151.5642.91,61.66,32.63,72.21,51.56,42.91,Karaikudi,Tamil Nadu,52.18,28
TLR (100),RPC (100),,,,,,,,,
61.66,32.63,,,,,,,,,
IR-O-U-0747,Chandigarh UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)63.0422.1669.2778.6245.83,63.04,22.16,69.27,78.62,45.83,Mohali,Punjab,51.85,29
TLR (100),RPC (100),,,,,,,,,
63.04,22.16,,,,,,,,,
IR-O-U-0262,"Mahatma Gandhi University, KottayamMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)65.1636.1670.4851.1819.92",65.16,36.16,70.48,51.18,19.92,Kottayam,Kerala,51.61,30
TLR (100),RPC (100),,,,,,,,,
65.16,36.16,,,,,,,,,
IR-O-I-1480,Thapar Institute of Engineering and TechnologyMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)49.8644.8370.5755.0935.34,49.86,44.83,70.57,55.09,35.34,Patiala,Punjab,51.56,31
TLR (100),RPC (100),,,,,,,,,
49.86,44.83,,,,,,,,,
IR-O-U-0329,Symbiosis InternationalMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)65.6217.8074.9066.5747.82,65.62,17.8,74.9,66.57,47.82,Pune,Maharashtra,51.45,32
TLR (100),RPC (100),,,,,,,,,
65.62,17.8,,,,,,,,,
IR-O-U-0235,Mysore UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)68.9016.8190.6853.7921.36,68.9,16.81,90.68,53.79,21.36,Mysuru,Karnataka,51.37,33
TLR (100),RPC (100),,,,,,,,,
68.9,16.81,,,,,,,,,
IR-O-U-0222,JSS Academy of Higher Education and ResearchMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)68.1221.4069.0469.3735.88,68.12,21.4,69.04,69.37,35.88,Mysuru,Karnataka,51.2,34
TLR (100),RPC (100),,,,,,,,,
68.12,21.4,,,,,,,,,
IR-O-U-0458,Kalasalingam Academy of Research and EducationMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)60.1026.4671.2074.7234.05,60.1,26.46,71.2,74.72,34.05,Srivilliputtur,Tamil Nadu,51.09,35
TLR (100),RPC (100),,,,,,,,,
60.1,26.46,,,,,,,,,
IR-O-U-0006,"Andhra University, VisakhapatnamMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)54.0525.8085.7053.7340.53",54.05,25.8,85.7,53.73,40.53,Visakhapatnam,Andhra Pradesh,50.52,36
TLR (100),RPC (100),,,,,,,,,
54.05,25.8,,,,,,,,,
IR-O-U-0052,Gauhati UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)59.4221.6689.8258.1924.06,59.42,21.66,89.82,58.19,24.06,Guwahati,Assam,50.52,36
TLR (100),RPC (100),,,,,,,,,
59.42,21.66,,,,,,,,,
IR-O-U-0098,Delhi Technological UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)57.9332.4666.5557.3438.10,57.93,32.46,66.55,57.34,38.1,New Delhi,Delhi,49.97,38
TLR (100),RPC (100),,,,,,,,,
57.93,32.46,,,,,,,,,
IR-O-I-1357,University of MadrasMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)56.5832.3571.3052.4136.91,56.58,32.35,71.3,52.41,36.91,Chennai,Tamil Nadu,49.86,39
TLR (100),RPC (100),,,,,,,,,
56.58,32.35,,,,,,,,,
IR-O-U-0260,Kerala UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)65.2320.2994.4051.071.54,65.23,20.29,94.4,51.07,1.54,Thiruvananthapuram,Kerala,49.8,40
TLR (100),RPC (100),,,,,,,,,
65.23,20.29,,,,,,,,,
IR-O-U-0253,Cochin University of Science and TechnologyMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)57.0532.5773.3751.6327.11,57.05,32.57,73.37,51.63,27.11,Cochin,Kerala,49.43,41
TLR (100),RPC (100),,,,,,,,,
57.05,32.57,,,,,,,,,
IR-O-I-1110,Dr. D. Y. Patil VidyapeethMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)69.7819.2264.2761.3037.63,69.78,19.22,64.27,61.3,37.63,Pune,Maharashtra,49.43,41
TLR (100),RPC (100),,,,,,,,,
69.78,19.22,,,,,,,,,
IR-O-U-0474,Sathyabama Institute of Science and TechnologyMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)56.9929.8765.8265.0534.50,56.99,29.87,65.82,65.05,34.5,Chennai,Tamil Nadu,49.18,43
TLR (100),RPC (100),,,,,,,,,
56.99,29.87,,,,,,,,,
IR-O-U-0376,Guru Nanak Dev UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)51.0628.7378.5356.6037.01,51.06,28.73,78.53,56.6,37.01,Amritsar,Punjab,49.01,44
TLR (100),RPC (100),,,,,,,,,
51.06,28.73,,,,,,,,,
IR-O-U-0318,Mumbai UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)55.1622.5282.5455.9535.08,55.16,22.52,82.54,55.95,35.08,Mumbai,Maharashtra,48.93,45
TLR (100),RPC (100),,,,,,,,,
55.16,22.52,,,,,,,,,
IR-O-U-0107,Jamia HamdardMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)56.9330.1570.3560.9326.53,56.93,30.15,70.35,60.93,26.53,New Delhi,Delhi,48.93,45
TLR (100),RPC (100),,,,,,,,,
56.93,30.15,,,,,,,,,
IR-O-U-0379,Lovely Professional UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)56.4034.7166.1169.3314.40,56.4,34.71,66.11,69.33,14.4,Phagwara,Punjab,48.92,47
TLR (100),RPC (100),,,,,,,,,
56.4,34.71,,,,,,,,,
IR-O-I-1486,Sri Ramachandra Institute of Higher Education and ResearchMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)69.6817.0764.3365.0834.74,69.68,17.07,64.33,65.08,34.74,Chennai,Tamil Nadu,48.87,48
TLR (100),RPC (100),,,,,,,,,
69.68,17.07,,,,,,,,,
IR-O-U-0389,Banasthali VidyapithMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)53.0115.9884.9675.8333.71,53.01,15.98,84.96,75.83,33.71,Banasthali,Rajasthan,48.64,49
TLR (100),RPC (100),,,,,,,,,
53.01,15.98,,,,,,,,,
IR-O-U-0523,King George`s Medical UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)66.3326.3163.3655.8324.70,66.33,26.31,63.36,55.83,24.7,Lucknow,Uttar Pradesh,48.51,50
TLR (100),RPC (100),,,,,,,,,
66.33,26.31,,,,,,,,,
